slug,title,station,grouped,multi_group,mode,raw_group_count,raw_sections,raw_kinds,detected_by_current,current_group_count,current_group_kinds,missed_by_current,program_url,sample_labels,fetch_error
100damarconialdigitale,"100, da Marconi al digitale",,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/100damarconialdigitale,,
100voltealbertosordi,100 Volte Alberto Sordi,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/100voltealbertosordi,,
10giugno1924mortediunademocrazia,10 giugno 1924. Morte di una democrazia,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/10giugno1924mortediunademocrazia,,
10notiziedalfuturo,10 Notizie dal futuro,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/10notiziedalfuturo,,
11settembre-americaannozero,11 settembre - America anno zero,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/11settembre-americaannozero,,
14-18grandeguerra100annidopo,14-18 Grande Guerra 100 anni dopo,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/14-18grandeguerra100annidopo,,
1492,1492,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/1492,,
16ottobre1943,16 Ottobre 1943,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/16ottobre1943,,
1802-ilfuneraledeiduepapi,1802 - Il funerale dei due papi,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/1802-ilfuneraledeiduepapi,,
1922,1922,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/1922,,
1939-1945laiiguerramondiale,1939-1945. La II Guerra Mondiale,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/1939-1945laiiguerramondiale,,
1943losbarcoinsicilia,1943 Lo sbarco in Sicilia ,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/1943losbarcoinsicilia,,
1944-lapartita,1944 - La partita,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/1944-lapartita,,
1944ilcrollodelreichnormandiaebagration,"1944, il crollo del Reich – Normandia e Bagration",,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/1944ilcrollodelreichnormandiaebagration,,
1968lannoribelle,"1968, l'anno ribelle",,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/1968lannoribelle,,
1970lavittoriadeilavoratori,"1970, la vittoria dei lavoratori",,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/1970lavittoriadeilavoratori,,
1970tripoliaddioquandoiprofughieravamonoi,1970 Tripoli addio. Quando i profughi eravamo noi,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/1970tripoliaddioquandoiprofughieravamonoi,,
1973quelledomenicheapiedi,1973: Quelle domeniche a piedi,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/1973quelledomenicheapiedi,,
1mnext,1 M Next,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/1mnext,,
20piccolimondi,20 piccoli mondi,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/20piccolimondi,,
21giornicileestadionacional1973,"21 giorni. Cile, Estadio Nacional 1973",,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/21giornicileestadionacional1973,,
25aprile-dietrolelineenemiche,25 Aprile - Dietro le linee nemiche,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/25aprile-dietrolelineenemiche,,
2giugno194670annidallarepubblica,2 giugno 1946: 70 anni dalla Repubblica,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/2giugno194670annidallarepubblica,,
3sullaluna,3 sulla Luna,,True,True,series,4,puntate-e-podcast,series,True,5,series,False,https://www.raiplaysound.it/programmi/3sullaluna,L'uomo è sulla Luna | Destinazione Luna | Segnati dalla Luna | Poeti sulla Luna,
4inviaggiopercorsiinaltoadige,4 in viaggio. Percorsi in Alto Adige,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/4inviaggiopercorsiinaltoadige,,
5incondotta,5 in condotta,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/5incondotta,,
60annidellaperugiassisi,60 anni della PerugiAssisi,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/60annidellaperugiassisi,,
8settembre1943-unatragediaitaliana,8 settembre 1943 - Una tragedia italiana ,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/8settembre1943-unatragediaitaliana,,
8settembre1943laresaincondizionata,8 Settembre 1943. La resa incondizionata,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/8settembre1943laresaincondizionata,,
90epiu,90 e più,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/90epiu,,
9999unagrandevitalunga,9999. Una grande vita lunga,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/9999unagrandevitalunga,,
a3ilformatodellarte,A3 il formato dell'arte,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/a3ilformatodellarte,,
aalavoro,AA Lavoro,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/aalavoro,,
abcdarte,ABC d'arte,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/abcdarte,,
abellezza-scandalosonapoli,'a bellezza - Scandaloso Napoli,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/abellezza-scandalosonapoli,,
abissidiariodaifondalidelpacifico,Abissi. Diario dai fondali del Pacifico,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/abissidiariodaifondalidelpacifico,,
aburottu,Aburottu,,True,True,seasonal,2,episodi,season,True,3,season,False,https://www.raiplaysound.it/programmi/aburottu,Stagione 2 | Stagione 3,
acacciadellia,A caccia dell'IA,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/acacciadellia,,
achillelauro-lanottedisigonella,Achille Lauro - La notte di Sigonella,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/achillelauro-lanottedisigonella,,
achilleocchetto-leintervistedimarcodamilano,Achille Occhetto - Le interviste di Marco Damilano,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/achilleocchetto-leintervistedimarcodamilano,,
adaltavoce,Ad alta voce,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/adaltavoce,,
adioscuba,Adios Cuba,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/adioscuba,,
adrianoolivetti-laforzadiunsogno,Adriano Olivetti - La forza di un sogno,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/adrianoolivetti-laforzadiunsogno,,
affestadas,Affestadas,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/affestadas,,
afghanistan20annidopo,Afghanistan: 20 anni dopo,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/afghanistan20annidopo,,
afghanistanunastoriadiguerre,Afghanistan: una storia di guerre,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/afghanistanunastoriadiguerre,,
afroamerica-blackmusicrevolution,Afroamerica - Black Music Revolution,,True,True,mixed,2,episodi,bucket|other,True,1,season,False,https://www.raiplaysound.it/programmi/afroamerica-blackmusicrevolution,2^ Stagione | Episodi,
aggiungiunpostoinmacchina,Aggiungi un posto in macchina,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/aggiungiunpostoinmacchina,,
agora,Agorà,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/agora,,
agostinodibartolomei-ilcapitanosilenzioso,Agostino Di Bartolomei - Il capitano silenzioso,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/agostinodibartolomei-ilcapitanosilenzioso,,
ainnuiimoi,A innui imoi,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/ainnuiimoi,,
aispalasdesupalcu,A is palas de su palcu,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/aispalasdesupalcu,,
aiutamiafaredasolo,Aiutami a fare da solo,,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/aiutamiafaredasolo,,
albertazzivitamorteemiracoli,"Albertazzi: vita, morte e miracoli",,False,False,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/albertazzivitamorteemiracoli,,
